split,profile,model,mode,n,mean,median,ci_lo,ci_hi
dev,Aggressive,gemini-2.5-flash,critique,5.0,0.013468741376163575,0.0,0.0,0.029081831334099983
dev,Aggressive,gemini-2.5-flash,direct,5.0,0.00780992589344809,0.0,0.0,0.023429777680344273
dev,Aggressive,gemini-2.5-flash,sc,5.0,0.005662196397195372,0.0,0.0,0.016986589191586115
dev,Aggressive,gpt-5-nano,critique,5.0,0.0,0.0,0.0,0.0
dev,Aggressive,gpt-5-nano,direct,5.0,0.14057716286229932,0.0381078860144192,0.007621577202883841,0.36099684644724334
dev,Aggressive,gpt-5-nano,sc,5.0,0.010106508800516483,0.0,0.0,0.02592598017654792
dev,Aggressive,meta-llama/Llama-3.3-70B-Instruct-Turbo,critique,5.0,0.0,0.0,0.0,0.0
dev,Aggressive,meta-llama/Llama-3.3-70B-Instruct-Turbo,direct,5.0,0.0,0.0,0.0,0.0
dev,Aggressive,meta-llama/Llama-3.3-70B-Instruct-Turbo,sc,5.0,0.0,0.0,0.0,0.0
dev,Conservative,gemini-2.5-flash,critique,5.0,0.20693141461731387,0.1943708506377271,0.13882825146137362,0.2892013148395681
dev,Conservative,gemini-2.5-flash,direct,5.0,0.2596951760921204,0.1943708506377271,0.16770945288318065,0.39655294678744935
dev,Conservative,gemini-2.5-flash,sc,5.0,0.285095151220674,0.28156847213320546,0.20429895147119814,0.3658913509701499
dev,Conservative,gpt-5-nano,critique,5.0,0.13328688232717983,0.08939504328604064,0.054349785042683306,0.22346592127837756
dev,Conservative,gpt-5-nano,direct,5.0,0.46686930140709776,0.39822134700094525,0.2941492714722374,0.6691664697016277
dev,Conservative,gpt-5-nano,sc,5.0,0.22407450200871434,0.24368661317884188,0.17465769708633566,0.27201194491776903
dev,Conservative,meta-llama/Llama-3.3-70B-Instruct-Turbo,critique,5.0,0.19981087726835467,0.15401524921212253,0.1165379807138246,0.28661274912209167
dev,Conservative,meta-llama/Llama-3.3-70B-Instruct-Turbo,direct,5.0,0.2453459506133156,0.25205146001475104,0.17973109807287208,0.31472245791619624
dev,Conservative,meta-llama/Llama-3.3-70B-Instruct-Turbo,sc,5.0,0.21161001893643444,0.21631560842110287,0.14000225176973094,0.2694296060289036
dev,Moderate,gemini-2.5-flash,critique,5.0,0.03297541550594342,0.0,0.0,0.09586431565192849
dev,Moderate,gemini-2.5-flash,direct,5.0,0.044601154452954386,0.0417097633053439,0.034262075816208604,0.05683287496091406
dev,Moderate,gemini-2.5-flash,sc,5.0,0.03587471537249032,0.028464039548189584,0.0056928079096379165,0.0687392260303877
dev,Moderate,gpt-5-nano,critique,5.0,0.09020443761794414,0.10085335912563449,0.02956545615503329,0.14981087546914346
dev,Moderate,gpt-5-nano,direct,5.0,0.2523869930382376,0.1749045830466156,0.10899712610535159,0.4708726108588842
dev,Moderate,gpt-5-nano,sc,5.0,0.07719162286475743,0.07855446676067496,0.06312817056090626,0.09225596755730785
dev,Moderate,meta-llama/Llama-3.3-70B-Instruct-Turbo,critique,5.0,0.0998630307158785,0.05418411427786751,0.03947516296561389,0.1845576337977603
dev,Moderate,meta-llama/Llama-3.3-70B-Instruct-Turbo,direct,5.0,0.11957335715474311,0.12934533895023376,0.08568804639742925,0.1441937119365934
dev,Moderate,meta-llama/Llama-3.3-70B-Instruct-Turbo,sc,5.0,0.03794057749108272,0.028464511860614168,0.013960987944018339,0.06624598392364633
test,Aggressive,gemini-2.5-flash,critique,7.0,0.006445009433254793,0.0,0.0,0.017597224049489504
test,Aggressive,gemini-2.5-flash,direct,7.0,0.02671952954769164,0.02285520116391917,0.009086642364736958,0.049573806660197665
test,Aggressive,gemini-2.5-flash,sc,7.0,0.0,0.0,0.0,0.0
test,Aggressive,gpt-5-nano,critique,7.0,0.03808944787811397,0.019269406255616288,0.006579891405557198,0.0779780209088911
test,Aggressive,gpt-5-nano,direct,7.0,0.05707873812389647,0.0,0.011652004075513398,0.12398991422704099
test,Aggressive,gpt-5-nano,sc,7.0,0.0029756646242702655,0.0,0.0,0.008926993872810795
test,Aggressive,meta-llama/Llama-3.3-70B-Instruct-Turbo,critique,7.0,0.0,0.0,0.0,0.0
test,Aggressive,meta-llama/Llama-3.3-70B-Instruct-Turbo,direct,7.0,0.007471502977054186,0.0,0.0,0.018623699756702507
test,Aggressive,meta-llama/Llama-3.3-70B-Instruct-Turbo,sc,7.0,0.0,0.0,0.0,0.0
test,Conservative,gemini-2.5-flash,critique,7.0,0.28286420447790184,0.21611790737821768,0.19318738767706145,0.38306091627414174
test,Conservative,gemini-2.5-flash,direct,7.0,0.4616520492346065,0.4713472701718749,0.3379669841157531,0.5910577355159158
test,Conservative,gemini-2.5-flash,sc,7.0,0.29292591524160827,0.27896008790950383,0.2175002900620342,0.37573114761019577
test,Conservative,gpt-5-nano,critique,7.0,0.2337865159290687,0.2123220666529305,0.1472081658120115,0.3195517711840235
test,Conservative,gpt-5-nano,direct,7.0,0.3666664871512824,0.33714708732937254,0.3077134248747812,0.43462252816621655
test,Conservative,gpt-5-nano,sc,7.0,0.22040933396633328,0.272415794983481,0.15192244258212712,0.2761014906118819
test,Conservative,meta-llama/Llama-3.3-70B-Instruct-Turbo,critique,7.0,0.2691351641987701,0.3215891330218143,0.2028715841306579,0.33090733261549776
test,Conservative,meta-llama/Llama-3.3-70B-Instruct-Turbo,direct,7.0,0.3124596725019476,0.31305728513150766,0.2625472507021017,0.35780774733626136
test,Conservative,meta-llama/Llama-3.3-70B-Instruct-Turbo,sc,7.0,0.25918685923761037,0.23340345828755374,0.20242906174694794,0.3222349512037902
test,Moderate,gemini-2.5-flash,critique,7.0,0.03458874915330449,0.028464001473749643,0.008132571849642755,0.06820516545778718
test,Moderate,gemini-2.5-flash,direct,7.0,0.07073487230794173,0.048164959451942366,0.031518082185198124,0.12257705289918785
test,Moderate,gemini-2.5-flash,sc,7.0,0.017664541792259757,0.0,0.002103688533736071,0.03682498166929808
test,Moderate,gpt-5-nano,critique,7.0,0.10781589667236105,0.12072319125805031,0.05799485749776722,0.15692896350515226
test,Moderate,gpt-5-nano,direct,7.0,0.18495451935523363,0.11008036333620799,0.08646074621538247,0.352494448414733
test,Moderate,gpt-5-nano,sc,7.0,0.06683938507833545,0.07187905631497585,0.030892566016811885,0.10411588058726583
test,Moderate,meta-llama/Llama-3.3-70B-Instruct-Turbo,critique,7.0,0.049723729637678134,0.028724015130970983,0.015383807792031431,0.08677770280148289
test,Moderate,meta-llama/Llama-3.3-70B-Instruct-Turbo,direct,7.0,0.08794674231892752,0.11939381734107453,0.04773187849894729,0.12248298396882941
test,Moderate,meta-llama/Llama-3.3-70B-Instruct-Turbo,sc,7.0,0.032266743500398556,0.02846418257453452,0.00813262359272415,0.058755151798260664
train,Aggressive,gemini-2.5-flash,critique,12.0,0.015103721493740384,0.0030411682941692397,0.005664189067549868,0.02563541061948247
train,Aggressive,gemini-2.5-flash,direct,12.0,0.01992267684576948,0.01841277296674715,0.00983461635423467,0.029747931888606433
train,Aggressive,gemini-2.5-flash,sc,12.0,0.0,0.0,0.0,0.0
train,Aggressive,gpt-5-nano,critique,12.0,0.011050273791587078,0.0,0.0,0.025766106461524368
train,Aggressive,gpt-5-nano,direct,12.0,0.038428674907660366,0.0,0.0053507598816837304,0.08162748202417665
train,Aggressive,gpt-5-nano,sc,12.0,0.013784852693156095,0.002395990353091852,0.0037744999925986363,0.026011664178585085
train,Aggressive,meta-llama/Llama-3.3-70B-Instruct-Turbo,critique,12.0,0.0,0.0,0.0,0.0
