mode,split,A,B,N_pairs,W,p,effect_r,p_adj_fdr_bh,reject_@alpha
critique,all,gpt-5-nano,meta-llama/Llama-3.3-70B-Instruct-Turbo,72,347.0,0.00039391709867676465,0.41767924230915465,0.001181751296030294,True
critique,all,gemini-2.5-flash,meta-llama/Llama-3.3-70B-Instruct-Turbo,72,401.0,0.008720553529041773,0.3091022074762559,0.011987224056584606,True
critique,all,gemini-2.5-flash,gpt-5-nano,72,641.0,0.011987224056584606,0.2961033457979538,0.011987224056584606,True
critique,dev,gemini-2.5-flash,meta-llama/Llama-3.3-70B-Instruct-Turbo,15,25.0,0.272095182736126,0.2835670227834266,0.816285548208378,False
critique,dev,gpt-5-nano,meta-llama/Llama-3.3-70B-Instruct-Turbo,15,24.0,0.7212766990291557,0.09211323729436768,0.875329249147922,False
critique,dev,gemini-2.5-flash,gpt-5-nano,15,37.0,0.875329249147922,0.04050957468334666,0.875329249147922,False
critique,test,gemini-2.5-flash,gpt-5-nano,21,61.0,0.17123878524909952,0.2985731765874502,0.321806047080761,False
critique,test,gpt-5-nano,meta-llama/Llama-3.3-70B-Instruct-Turbo,21,57.0,0.21453736472050733,0.27084880165707453,0.321806047080761,False
critique,test,gemini-2.5-flash,meta-llama/Llama-3.3-70B-Instruct-Turbo,21,52.0,0.6495629244115453,0.0991515465631671,0.6495629244115453,False
critique,train,gpt-5-nano,meta-llama/Llama-3.3-70B-Instruct-Turbo,36,10.0,1.7043253563037818e-05,0.716745803655578,5.1129760689113456e-05,True
critique,train,gemini-2.5-flash,meta-llama/Llama-3.3-70B-Instruct-Turbo,36,14.0,6.450980270829185e-05,0.6659460660563494,9.676470406243777e-05,True
critique,train,gemini-2.5-flash,gpt-5-nano,36,136.0,0.016690105726464014,0.39891071573694176,0.016690105726464014,True
direct,all,gpt-5-nano,meta-llama/Llama-3.3-70B-Instruct-Turbo,72,281.0,3.858076033340737e-07,0.5981923324514299,1.1574228100022212e-06,True
direct,all,gemini-2.5-flash,meta-llama/Llama-3.3-70B-Instruct-Turbo,72,554.0,0.0049216115488450885,0.3314115378643625,0.007382417323267633,True
direct,all,gemini-2.5-flash,gpt-5-nano,72,795.0,0.04731112870607759,0.2337582219534076,0.04731112870607759,True
direct,dev,gemini-2.5-flash,gpt-5-nano,15,1.0,0.0018714329102470324,0.8029757435751373,0.005614298730741097,True
direct,dev,gpt-5-nano,meta-llama/Llama-3.3-70B-Instruct-Turbo,15,7.0,0.007132413699395206,0.6947093511829839,0.010698620549092808,True
direct,dev,gemini-2.5-flash,meta-llama/Llama-3.3-70B-Instruct-Turbo,15,22.0,0.32806478170083675,0.2525234958217334,0.32806478170083675,False
direct,test,gpt-5-nano,meta-llama/Llama-3.3-70B-Instruct-Turbo,21,38.0,0.021801738635254905,0.5005491489848429,0.06540521590576472,True
direct,test,gemini-2.5-flash,meta-llama/Llama-3.3-70B-Instruct-Turbo,21,55.0,0.10746614473256638,0.3512625606911179,0.16119921709884957,False
direct,test,gemini-2.5-flash,gpt-5-nano,21,95.0,1.0,5.4699117895411197e-11,1.0,False
direct,train,gpt-5-nano,meta-llama/Llama-3.3-70B-Instruct-Turbo,36,57.0,0.00010853194421867273,0.6451134231058354,0.0003255958326560182,True
direct,train,gemini-2.5-flash,meta-llama/Llama-3.3-70B-Instruct-Turbo,36,71.0,0.0005230381311101601,0.5781119544728109,0.0007845571966652403,True
direct,train,gemini-2.5-flash,gpt-5-nano,36,269.0,0.6260743862210609,0.08120993040854094,0.6260743862210609,False
sc,all,gpt-5-nano,meta-llama/Llama-3.3-70B-Instruct-Turbo,72,424.0,0.0037438154131534443,0.34164779630961595,0.011231446239460334,True
sc,all,gemini-2.5-flash,gpt-5-nano,72,533.0,0.047064875492777734,0.23401886625832072,0.07059731323916661,True
sc,all,gemini-2.5-flash,meta-llama/Llama-3.3-70B-Instruct-Turbo,72,389.0,0.3104415301606779,0.11953593044497994,0.3104415301606779,False
sc,dev,gpt-5-nano,meta-llama/Llama-3.3-70B-Instruct-Turbo,15,21.0,0.15793931050013033,0.36458617215012,0.2734716494758164,False
sc,dev,gemini-2.5-flash,meta-llama/Llama-3.3-70B-Instruct-Turbo,15,18.0,0.18231443298387762,0.3443502215750908,0.2734716494758164,False
sc,dev,gemini-2.5-flash,gpt-5-nano,15,35.0,0.463071015014588,0.18946618668626838,0.463071015014588,False
sc,test,gpt-5-nano,meta-llama/Llama-3.3-70B-Instruct-Turbo,21,38.0,0.3626859408352129,0.19863479632965916,0.9749599188317098,False
sc,test,gemini-2.5-flash,meta-llama/Llama-3.3-70B-Instruct-Turbo,21,42.0,0.8067663226228976,0.053376051268362396,0.9749599188317098,False
sc,test,gemini-2.5-flash,gpt-5-nano,21,52.0,0.9749599188317098,0.006849475735505477,0.9749599188317098,False
sc,train,gpt-5-nano,meta-llama/Llama-3.3-70B-Instruct-Turbo,36,99.0,0.010396668482565371,0.4270582230695151,0.01837515861146982,True
sc,train,gemini-2.5-flash,gpt-5-nano,36,93.0,0.012250105740979877,0.41747609564948807,0.01837515861146982,True
sc,train,gemini-2.5-flash,meta-llama/Llama-3.3-70B-Instruct-Turbo,36,87.0,0.7475000777680043,0.053656242439035585,0.7475000777680043,False
