split,profile,model,mode,v_any_rate,v_count_mean,v_severity_mean
dev,Aggressive,gemini-2.5-flash,critique,0.4,0.4,0.19200000000000017
dev,Aggressive,gemini-2.5-flash,direct,0.2,0.4,0.13866397400019648
dev,Aggressive,gemini-2.5-flash,sc,0.2,0.2,0.08000000000000007
dev,Aggressive,gpt-5-nano,critique,0.0,0.0,0.0
dev,Aggressive,gpt-5-nano,direct,0.6,1.2,3.7447144752319206
dev,Aggressive,gpt-5-nano,sc,0.4,0.4,0.08725852716427807
dev,Aggressive,meta-llama/Llama-3.3-70B-Instruct-Turbo,critique,0.0,0.0,0.0
dev,Aggressive,meta-llama/Llama-3.3-70B-Instruct-Turbo,direct,0.0,0.0,0.0
dev,Aggressive,meta-llama/Llama-3.3-70B-Instruct-Turbo,sc,0.0,0.0,0.0
dev,Conservative,gemini-2.5-flash,critique,1.0,2.6,6.732000000000002
dev,Conservative,gemini-2.5-flash,direct,1.0,3.4,9.12897788251522
dev,Conservative,gemini-2.5-flash,sc,1.0,3.0,9.653333333333332
dev,Conservative,gpt-5-nano,critique,1.0,2.0,2.85794014596413
dev,Conservative,gpt-5-nano,direct,1.0,3.6,20.072114093140268
dev,Conservative,gpt-5-nano,sc,1.0,1.2,4.227069537912241
dev,Conservative,meta-llama/Llama-3.3-70B-Instruct-Turbo,critique,1.0,2.8,5.827626768304018
dev,Conservative,meta-llama/Llama-3.3-70B-Instruct-Turbo,direct,1.0,2.6,6.739601951558664
dev,Conservative,meta-llama/Llama-3.3-70B-Instruct-Turbo,sc,1.0,1.8,4.520102502316971
dev,Moderate,gemini-2.5-flash,critique,0.4,0.8,0.8269841269841273
dev,Moderate,gemini-2.5-flash,direct,1.0,1.2,0.7471230613372924
dev,Moderate,gemini-2.5-flash,sc,0.6,0.8,0.6571428571428574
dev,Moderate,gpt-5-nano,critique,0.8,1.2,1.1890745785490924
dev,Moderate,gpt-5-nano,direct,1.0,2.0,7.012427064135286
dev,Moderate,gpt-5-nano,sc,1.0,1.0,0.9396979166867958
dev,Moderate,meta-llama/Llama-3.3-70B-Instruct-Turbo,critique,1.0,1.6,2.016965364324004
dev,Moderate,meta-llama/Llama-3.3-70B-Instruct-Turbo,direct,1.0,1.8,1.826469245479918
dev,Moderate,meta-llama/Llama-3.3-70B-Instruct-Turbo,sc,0.8,1.0,0.48106621116765585
test,Aggressive,gemini-2.5-flash,critique,0.2857142857142857,0.2857142857142857,0.09142857142857151
test,Aggressive,gemini-2.5-flash,direct,0.7142857142857143,0.8571428571428571,0.4241691779242226
test,Aggressive,gemini-2.5-flash,sc,0.0,0.0,0.0
test,Aggressive,gpt-5-nano,critique,0.5714285714285714,0.8571428571428571,0.5935755566508346
test,Aggressive,gpt-5-nano,direct,0.42857142857142855,1.4285714285714286,1.1241581897545285
test,Aggressive,gpt-5-nano,sc,0.14285714285714285,0.14285714285714285,0.02373675022685127
test,Aggressive,meta-llama/Llama-3.3-70B-Instruct-Turbo,critique,0.0,0.0,0.0
test,Aggressive,meta-llama/Llama-3.3-70B-Instruct-Turbo,direct,0.2857142857142857,0.2857142857142857,0.09391560006669379
test,Aggressive,meta-llama/Llama-3.3-70B-Instruct-Turbo,sc,0.0,0.0,0.0
test,Conservative,gemini-2.5-flash,critique,1.0,3.0,10.285714285714286
test,Conservative,gemini-2.5-flash,direct,1.0,3.0,19.96095238095238
test,Conservative,gemini-2.5-flash,sc,1.0,3.0,10.087619047619048
test,Conservative,gpt-5-nano,critique,1.0,2.5714285714285716,6.155081377823447
test,Conservative,gpt-5-nano,direct,1.0,2.857142857142857,11.77875715581022
test,Conservative,gpt-5-nano,sc,1.0,1.5714285714285714,4.5750023561761655
test,Conservative,meta-llama/Llama-3.3-70B-Instruct-Turbo,critique,1.0,3.0,8.295479327538716
test,Conservative,meta-llama/Llama-3.3-70B-Instruct-Turbo,direct,1.0,3.0,9.429795734223239
test,Conservative,meta-llama/Llama-3.3-70B-Instruct-Turbo,sc,1.0,2.142857142857143,6.151604106793257
test,Moderate,gemini-2.5-flash,critique,0.5714285714285714,0.8571428571428571,0.7046485260770974
test,Moderate,gemini-2.5-flash,direct,0.8571428571428571,1.2857142857142858,1.5648614747761833
test,Moderate,gemini-2.5-flash,sc,0.42857142857142855,0.42857142857142855,0.28571428571428614
test,Moderate,gpt-5-nano,critique,0.8571428571428571,1.1428571428571428,1.3731700724049831
test,Moderate,gpt-5-nano,direct,1.0,1.5714285714285714,5.167540511786835
test,Moderate,gpt-5-nano,sc,0.7142857142857143,0.8571428571428571,0.7940234950761879
test,Moderate,meta-llama/Llama-3.3-70B-Instruct-Turbo,critique,0.7142857142857143,0.8571428571428571,0.6968493628878719
test,Moderate,meta-llama/Llama-3.3-70B-Instruct-Turbo,direct,1.0,1.4285714285714286,1.30629113205274
test,Moderate,meta-llama/Llama-3.3-70B-Instruct-Turbo,sc,0.5714285714285714,0.5714285714285714,0.49027274738105636
train,Aggressive,gemini-2.5-flash,critique,0.5,0.5833333333333334,0.23425316116786657
train,Aggressive,gemini-2.5-flash,direct,0.6666666666666666,1.0833333333333333,0.32042227586755695
train,Aggressive,gemini-2.5-flash,sc,0.0,0.0,0.0
train,Aggressive,gpt-5-nano,critique,0.25,0.3333333333333333,0.09957178725985905
train,Aggressive,gpt-5-nano,direct,0.4166666666666667,0.75,0.7580717208947275
train,Aggressive,gpt-5-nano,sc,0.5,0.5,0.1119524677843292
train,Aggressive,meta-llama/Llama-3.3-70B-Instruct-Turbo,critique,0.0,0.0,0.0
train,Aggressive,meta-llama/Llama-3.3-70B-Instruct-Turbo,direct,0.25,0.3333333333333333,0.02426585481055687
train,Aggressive,meta-llama/Llama-3.3-70B-Instruct-Turbo,sc,0.0,0.0,0.0
train,Conservative,gemini-2.5-flash,critique,1.0,3.0,7.602603321837456
train,Conservative,gemini-2.5-flash,direct,1.0,3.0833333333333335,15.200041693378745
train,Conservative,gemini-2.5-flash,sc,1.0,3.0833333333333335,8.036532966039038
train,Conservative,gpt-5-nano,critique,1.0,2.5,6.222667121227922
train,Conservative,gpt-5-nano,direct,1.0,2.3333333333333335,6.974068411299437
train,Conservative,gpt-5-nano,sc,1.0,1.6666666666666667,5.612545183245049
train,Conservative,meta-llama/Llama-3.3-70B-Instruct-Turbo,critique,1.0,2.8333333333333335,3.669029835099625
train,Conservative,meta-llama/Llama-3.3-70B-Instruct-Turbo,direct,1.0,2.9166666666666665,5.38935739461355
train,Conservative,meta-llama/Llama-3.3-70B-Instruct-Turbo,sc,1.0,1.9166666666666667,4.768877224659231
train,Moderate,gemini-2.5-flash,critique,0.5833333333333334,0.75,0.8614417989417991
train,Moderate,gemini-2.5-flash,direct,0.8333333333333334,1.25,1.3164484604976219
train,Moderate,gemini-2.5-flash,sc,0.4166666666666667,0.5,0.273809523809524
train,Moderate,gpt-5-nano,critique,1.0,1.6666666666666667,3.33580131135165
train,Moderate,gpt-5-nano,direct,1.0,1.6666666666666667,2.2451254502755367
train,Moderate,gpt-5-nano,sc,0.75,0.8333333333333334,0.9113122261541878
train,Moderate,meta-llama/Llama-3.3-70B-Instruct-Turbo,critique,0.3333333333333333,0.4166666666666667,0.22364959010910387
train,Moderate,meta-llama/Llama-3.3-70B-Instruct-Turbo,direct,0.6666666666666666,0.9166666666666666,0.6338646091219267
train,Moderate,meta-llama/Llama-3.3-70B-Instruct-Turbo,sc,0.4166666666666667,0.5,0.25680926022890027
