split_final,profile_final,model,mode,n_runs,n_parse_fail,parse_fail_rate
dev,Aggressive,gemini-2.5-flash,critique,5,0,0.0
dev,Aggressive,gemini-2.5-flash,direct,5,0,0.0
dev,Aggressive,gemini-2.5-flash,sc,5,0,0.0
dev,Aggressive,gpt-5-nano,critique,5,0,0.0
dev,Aggressive,gpt-5-nano,direct,5,0,0.0
dev,Aggressive,gpt-5-nano,sc,5,0,0.0
dev,Aggressive,meta-llama/Llama-3.3-70B-Instruct-Turbo,critique,5,0,0.0
dev,Aggressive,meta-llama/Llama-3.3-70B-Instruct-Turbo,direct,5,0,0.0
dev,Aggressive,meta-llama/Llama-3.3-70B-Instruct-Turbo,sc,5,0,0.0
dev,Conservative,gemini-2.5-flash,critique,5,0,0.0
dev,Conservative,gemini-2.5-flash,direct,5,0,0.0
dev,Conservative,gemini-2.5-flash,sc,5,0,0.0
dev,Conservative,gpt-5-nano,critique,5,0,0.0
dev,Conservative,gpt-5-nano,direct,5,0,0.0
dev,Conservative,gpt-5-nano,sc,5,0,0.0
dev,Conservative,meta-llama/Llama-3.3-70B-Instruct-Turbo,critique,5,0,0.0
dev,Conservative,meta-llama/Llama-3.3-70B-Instruct-Turbo,direct,5,0,0.0
dev,Conservative,meta-llama/Llama-3.3-70B-Instruct-Turbo,sc,5,0,0.0
dev,Moderate,gemini-2.5-flash,critique,5,0,0.0
dev,Moderate,gemini-2.5-flash,direct,5,0,0.0
dev,Moderate,gemini-2.5-flash,sc,5,0,0.0
dev,Moderate,gpt-5-nano,critique,5,0,0.0
dev,Moderate,gpt-5-nano,direct,5,0,0.0
dev,Moderate,gpt-5-nano,sc,5,0,0.0
dev,Moderate,meta-llama/Llama-3.3-70B-Instruct-Turbo,critique,5,0,0.0
dev,Moderate,meta-llama/Llama-3.3-70B-Instruct-Turbo,direct,5,0,0.0
dev,Moderate,meta-llama/Llama-3.3-70B-Instruct-Turbo,sc,5,0,0.0
test,Aggressive,gemini-2.5-flash,critique,7,0,0.0
test,Aggressive,gemini-2.5-flash,direct,7,0,0.0
test,Aggressive,gemini-2.5-flash,sc,7,0,0.0
test,Aggressive,gpt-5-nano,critique,7,0,0.0
test,Aggressive,gpt-5-nano,direct,7,0,0.0
test,Aggressive,gpt-5-nano,sc,7,0,0.0
test,Aggressive,meta-llama/Llama-3.3-70B-Instruct-Turbo,critique,7,0,0.0
test,Aggressive,meta-llama/Llama-3.3-70B-Instruct-Turbo,direct,7,0,0.0
test,Aggressive,meta-llama/Llama-3.3-70B-Instruct-Turbo,sc,7,0,0.0
test,Conservative,gemini-2.5-flash,critique,7,0,0.0
test,Conservative,gemini-2.5-flash,direct,7,0,0.0
test,Conservative,gemini-2.5-flash,sc,7,0,0.0
test,Conservative,gpt-5-nano,critique,7,0,0.0
test,Conservative,gpt-5-nano,direct,7,0,0.0
test,Conservative,gpt-5-nano,sc,7,0,0.0
test,Conservative,meta-llama/Llama-3.3-70B-Instruct-Turbo,critique,7,0,0.0
test,Conservative,meta-llama/Llama-3.3-70B-Instruct-Turbo,direct,7,0,0.0
test,Conservative,meta-llama/Llama-3.3-70B-Instruct-Turbo,sc,7,0,0.0
test,Moderate,gemini-2.5-flash,critique,7,0,0.0
test,Moderate,gemini-2.5-flash,direct,7,0,0.0
test,Moderate,gemini-2.5-flash,sc,7,0,0.0
test,Moderate,gpt-5-nano,critique,7,0,0.0
test,Moderate,gpt-5-nano,direct,7,0,0.0
test,Moderate,gpt-5-nano,sc,7,0,0.0
test,Moderate,meta-llama/Llama-3.3-70B-Instruct-Turbo,critique,7,0,0.0
test,Moderate,meta-llama/Llama-3.3-70B-Instruct-Turbo,direct,7,0,0.0
test,Moderate,meta-llama/Llama-3.3-70B-Instruct-Turbo,sc,7,0,0.0
train,Aggressive,gemini-2.5-flash,critique,12,0,0.0
train,Aggressive,gemini-2.5-flash,direct,12,0,0.0
train,Aggressive,gemini-2.5-flash,sc,12,0,0.0
train,Aggressive,gpt-5-nano,critique,12,0,0.0
train,Aggressive,gpt-5-nano,direct,12,0,0.0
train,Aggressive,gpt-5-nano,sc,12,0,0.0
train,Aggressive,meta-llama/Llama-3.3-70B-Instruct-Turbo,critique,12,0,0.0
train,Aggressive,meta-llama/Llama-3.3-70B-Instruct-Turbo,direct,12,0,0.0
train,Aggressive,meta-llama/Llama-3.3-70B-Instruct-Turbo,sc,12,0,0.0
train,Conservative,gemini-2.5-flash,critique,12,0,0.0
train,Conservative,gemini-2.5-flash,direct,12,0,0.0
train,Conservative,gemini-2.5-flash,sc,12,0,0.0
train,Conservative,gpt-5-nano,critique,12,0,0.0
train,Conservative,gpt-5-nano,direct,12,0,0.0
train,Conservative,gpt-5-nano,sc,12,0,0.0
train,Conservative,meta-llama/Llama-3.3-70B-Instruct-Turbo,critique,12,0,0.0
train,Conservative,meta-llama/Llama-3.3-70B-Instruct-Turbo,direct,12,0,0.0
train,Conservative,meta-llama/Llama-3.3-70B-Instruct-Turbo,sc,12,0,0.0
train,Moderate,gemini-2.5-flash,critique,12,0,0.0
train,Moderate,gemini-2.5-flash,direct,12,0,0.0
train,Moderate,gemini-2.5-flash,sc,12,0,0.0
train,Moderate,gpt-5-nano,critique,12,0,0.0
train,Moderate,gpt-5-nano,direct,12,0,0.0
train,Moderate,gpt-5-nano,sc,12,0,0.0
train,Moderate,meta-llama/Llama-3.3-70B-Instruct-Turbo,critique,12,0,0.0
train,Moderate,meta-llama/Llama-3.3-70B-Instruct-Turbo,direct,12,0,0.0
train,Moderate,meta-llama/Llama-3.3-70B-Instruct-Turbo,sc,12,0,0.0
