split,profile,model,mode,n,x,rate,ci_lo,ci_hi
dev,Aggressive,gemini-2.5-flash,critique,5.0,2.0,0.4,0.11762077423264783,0.769275718723987
dev,Aggressive,gemini-2.5-flash,direct,5.0,1.0,0.2,0.03622410863243014,0.6244653702374747
dev,Aggressive,gemini-2.5-flash,sc,5.0,1.0,0.2,0.03622410863243014,0.6244653702374747
dev,Aggressive,gpt-5-nano,critique,5.0,0.0,0.0,0.0,0.43448246478317476
dev,Aggressive,gpt-5-nano,direct,5.0,3.0,0.6,0.2307242812760128,0.882379225767352
dev,Aggressive,gpt-5-nano,sc,5.0,2.0,0.4,0.11762077423264783,0.769275718723987
dev,Aggressive,meta-llama/Llama-3.3-70B-Instruct-Turbo,critique,5.0,0.0,0.0,0.0,0.43448246478317476
dev,Aggressive,meta-llama/Llama-3.3-70B-Instruct-Turbo,direct,5.0,0.0,0.0,0.0,0.43448246478317476
dev,Aggressive,meta-llama/Llama-3.3-70B-Instruct-Turbo,sc,5.0,0.0,0.0,0.0,0.43448246478317476
dev,Conservative,gemini-2.5-flash,critique,5.0,5.0,1.0,0.5655175352168251,1.0
dev,Conservative,gemini-2.5-flash,direct,5.0,5.0,1.0,0.5655175352168251,1.0
dev,Conservative,gemini-2.5-flash,sc,5.0,5.0,1.0,0.5655175352168251,1.0
dev,Conservative,gpt-5-nano,critique,5.0,5.0,1.0,0.5655175352168251,1.0
dev,Conservative,gpt-5-nano,direct,5.0,5.0,1.0,0.5655175352168251,1.0
dev,Conservative,gpt-5-nano,sc,5.0,5.0,1.0,0.5655175352168251,1.0
dev,Conservative,meta-llama/Llama-3.3-70B-Instruct-Turbo,critique,5.0,5.0,1.0,0.5655175352168251,1.0
dev,Conservative,meta-llama/Llama-3.3-70B-Instruct-Turbo,direct,5.0,5.0,1.0,0.5655175352168251,1.0
dev,Conservative,meta-llama/Llama-3.3-70B-Instruct-Turbo,sc,5.0,5.0,1.0,0.5655175352168251,1.0
dev,Moderate,gemini-2.5-flash,critique,5.0,2.0,0.4,0.11762077423264783,0.769275718723987
dev,Moderate,gemini-2.5-flash,direct,5.0,5.0,1.0,0.5655175352168251,1.0
dev,Moderate,gemini-2.5-flash,sc,5.0,3.0,0.6,0.2307242812760128,0.882379225767352
dev,Moderate,gpt-5-nano,critique,5.0,4.0,0.8,0.37553462976252533,0.9637758913675698
dev,Moderate,gpt-5-nano,direct,5.0,5.0,1.0,0.5655175352168251,1.0
dev,Moderate,gpt-5-nano,sc,5.0,5.0,1.0,0.5655175352168251,1.0
dev,Moderate,meta-llama/Llama-3.3-70B-Instruct-Turbo,critique,5.0,5.0,1.0,0.5655175352168251,1.0
dev,Moderate,meta-llama/Llama-3.3-70B-Instruct-Turbo,direct,5.0,5.0,1.0,0.5655175352168251,1.0
dev,Moderate,meta-llama/Llama-3.3-70B-Instruct-Turbo,sc,5.0,4.0,0.8,0.37553462976252533,0.9637758913675698
test,Aggressive,gemini-2.5-flash,critique,7.0,2.0,0.2857142857142857,0.08221892400405678,0.6410655481673808
test,Aggressive,gemini-2.5-flash,direct,7.0,5.0,0.7142857142857143,0.35893445183261935,0.9177810759959433
test,Aggressive,gemini-2.5-flash,sc,7.0,0.0,0.0,5.551115123125783e-17,0.35433043506668743
test,Aggressive,gpt-5-nano,critique,7.0,4.0,0.5714285714285714,0.2504583645276572,0.8417801447485302
test,Aggressive,gpt-5-nano,direct,7.0,3.0,0.42857142857142855,0.15821985525146975,0.7495416354723428
test,Aggressive,gpt-5-nano,sc,7.0,1.0,0.14285714285714285,0.02567962434474355,0.5131278292743189
test,Aggressive,meta-llama/Llama-3.3-70B-Instruct-Turbo,critique,7.0,0.0,0.0,5.551115123125783e-17,0.35433043506668743
test,Aggressive,meta-llama/Llama-3.3-70B-Instruct-Turbo,direct,7.0,2.0,0.2857142857142857,0.08221892400405678,0.6410655481673808
